,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbregressor__n_estimators,param_xgbregressor__min_child_weight,param_xgbregressor__max_depth,param_xgbregressor__importance_type,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,18.32834358215332,0.5619436573742581,0.7885924816131592,0.24494947209231352,320,8,5,weight,"{'xgbregressor__n_estimators': 320, 'xgbregressor__min_child_weight': 8, 'xgbregressor__max_depth': 5, 'xgbregressor__importance_type': 'weight'}",0.8608050917696468,0.8474542682583245,0.8286119538682984,0.8497123497604503,0.8328947254321615,0.8438956778177763,0.011722104672475607,3
1,38.074633026123045,1.34517069600114,0.8040621757507325,0.021253027717772367,430,3,8,cover,"{'xgbregressor__n_estimators': 430, 'xgbregressor__min_child_weight': 3, 'xgbregressor__max_depth': 8, 'xgbregressor__importance_type': 'cover'}",0.8538044959892928,0.8604828106294369,0.834611039741172,0.8066900738840505,0.8032204013232985,0.8317617643134501,0.023503608037935445,26
2,5.4045798778533936,1.1641226447841055,0.5971157550811768,0.11802267350473955,30,5,9,total_gain,"{'xgbregressor__n_estimators': 30, 'xgbregressor__min_child_weight': 5, 'xgbregressor__max_depth': 9, 'xgbregressor__importance_type': 'total_gain'}",0.8558758158263123,0.8465422184676439,0.8540279596601921,0.8665534149587435,0.8150889589157951,0.8476176735657374,0.017476411896936057,1
3,3.5683913707733153,0.43570348813989973,0.6838815689086915,0.15379016035630216,30,2,3,total_cover,"{'xgbregressor__n_estimators': 30, 'xgbregressor__min_child_weight': 2, 'xgbregressor__max_depth': 3, 'xgbregressor__importance_type': 'total_cover'}",0.7844588521210085,0.7757876959233346,0.7621353029646718,0.7626753831790815,0.7765973443373506,0.7723309157050894,0.008653535831940258,30
4,44.34080595970154,1.9255757025492226,0.9521653175354003,0.14848894006247695,570,8,7,cover,"{'xgbregressor__n_estimators': 570, 'xgbregressor__min_child_weight': 8, 'xgbregressor__max_depth': 7, 'xgbregressor__importance_type': 'cover'}",0.8754108415642669,0.8342249825144372,0.8388935146255181,0.8497304338046133,0.8115628404932013,0.8419645226004073,0.020844948907280277,7
5,34.09758267402649,1.635088422235644,0.8204240798950195,0.09818819169352726,350,10,9,gain,"{'xgbregressor__n_estimators': 350, 'xgbregressor__min_child_weight': 10, 'xgbregressor__max_depth': 9, 'xgbregressor__importance_type': 'gain'}",0.8663291027955371,0.81508688221028,0.8101177319089605,0.8567293964033157,0.8143625741427893,0.8325251374921766,0.02393582043438703,23
6,33.602316331863406,1.4207117120299197,0.8568237781524658,0.0360483821319189,300,5,10,gain,"{'xgbregressor__n_estimators': 300, 'xgbregressor__min_child_weight': 5, 'xgbregressor__max_depth': 10, 'xgbregressor__importance_type': 'gain'}",0.8608088505058152,0.8413391726390651,0.8406834038070349,0.8608928530020188,0.812402084009834,0.8432252727927537,0.01778433599615064,4
7,15.420252418518066,0.7256088333069679,0.7186778068542481,0.04935562704761896,120,6,10,total_cover,"{'xgbregressor__n_estimators': 120, 'xgbregressor__min_child_weight': 6, 'xgbregressor__max_depth': 10, 'xgbregressor__importance_type': 'total_cover'}",0.8635565986311116,0.8504282955733847,0.8204672829943346,0.8382338592470985,0.8237571376501432,0.8392886348192145,0.016184000430238855,13
8,46.90277991294861,2.7281323297891005,0.9648279190063477,0.1415614935513309,500,7,9,gain,"{'xgbregressor__n_estimators': 500, 'xgbregressor__min_child_weight': 7, 'xgbregressor__max_depth': 9, 'xgbregressor__importance_type': 'gain'}",0.8575276194995112,0.8490180851956899,0.8379310011106399,0.8595584477319813,0.8182901151814258,0.8444650537438495,0.015145907131391073,2
9,41.80427308082581,2.5213668588259073,0.942380714416504,0.08471290341370398,890,1,4,cover,"{'xgbregressor__n_estimators': 890, 'xgbregressor__min_child_weight': 1, 'xgbregressor__max_depth': 4, 'xgbregressor__importance_type': 'cover'}",0.8459966625962386,0.8692403460363216,0.8321011946849849,0.8349134316270649,0.815070397723183,0.8394644065335586,0.01788447857617222,12
